player_id	team_id	team_name	Jersey	Player	Yr	Pos	GP	GS	G	BA	OBPct	SlgPct	R	AB	H	2B	3B	TB	HR	RBI	BB	HBP	SF	SH	K	DP	CS	Picked	SB	RBI2out
1876041	229	Fla. Atlantic	34	Moore, Chris	Fr	P	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1876042	229	Fla. Atlantic	27	O'Connell, Dylan	Fr	P	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1871289	228	Florida A&M	6	Oliver, Dallas	Sr	OF	55	55	0	0.310	0.445	0.386	48	197	61	9	0	76	2	41	21	28	1	5	39	4	3	0	10	0
1871288	228	Florida A&M	4	Capra, John	Sr	INF	55	55	0	0.270	0.339	0.373	41	204	55	9	0	76	4	34	21	3	5	3	21	1	2	0	5	0
1981600	228	Florida A&M	3	Maxwell, Bret	Jr	INF	54	53	0	0.270	0.359	0.315	24	178	48	5	0	56	1	30	21	6	4	5	33	3	0	0	0	0
1652792	228	Florida A&M	1	Davis, Brian	Sr	INF	52	51	0	0.306	0.470	0.468	31	173	53	13	0	81	5	38	34	21	2	0	39	1	0	0	0	0
1756466	228	Florida A&M	25	Miles, Jr, Jacky	Sr	C	52	49	0	0.346	0.435	0.500	33	182	63	10	0	91	6	42	23	8	3	0	24	4	0	0	1	0
1756502	228	Florida A&M	12	Reese, Kaycee	Jr	INF	51	49	0	0.279	0.389	0.400	29	165	46	8	0	66	4	20	24	7	2	4	44	2	0	0	0	0
1756465	228	Florida A&M	5	McDaniel, Willis	Jr	OF	49	40	0	0.253	0.359	0.403	28	154	39	9	4	62	2	21	22	4	1	3	43	3	1	0	6	0
1981601	228	Florida A&M	13	Curtis, Jordan	Jr	OF	45	45	0	0.322	0.397	0.421	35	183	59	6	3	77	2	27	18	6	2	1	28	3	2	0	20	0
1871293	228	Florida A&M	15	Moyer, Octavien	So	INF	44	34	0	0.228	0.377	0.382	29	123	28	7	0	47	4	24	14	16	1	0	27	6	0	0	0	0
1871292	228	Florida A&M	2	Russ, Ty	Sr	OF	39	28	0	0.247	0.330	0.269	23	93	23	2	0	25	0	14	11	2	3	4	19	4	2	0	2	0
1756499	228	Florida A&M	11	Mitchell, Malachi	Jr	INF	35	6	0	0.278	0.366	0.306	8	36	10	1	0	11	0	4	3	2	0	0	14	0	2	0	3	0
1871290	228	Florida A&M	7	Grant, Jamie	Jr	P	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1871299	228	Florida A&M	22	Carlson, Dylan	So	P	25	1	0	0.000	0.000	0.000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1981627	228	Florida A&M	20	Shulstad, Devin	Fr	P	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1871298	228	Florida A&M	10	Russ, Kodi	Sr	INF	24	7	0	0.118	0.225	0.147	4	34	4	1	0	5	0	1	4	1	1	0	10	1	0	0	0	0
1871307	228	Florida A&M	55	Brooks, William	So	OF	20	1	0	0.364	0.391	0.500	2	22	8	0	0	11	1	2	1	0	0	0	7	0	0	0	0	0
1652790	228	Florida A&M	29	Anderson, Ryan	Sr	P	19	11	0	1.000	1.000	1.000	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
1981602	228	Florida A&M	18	Benton, Chandellor	Jr	P	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1652791	228	Florida A&M	23	Byrd, Javon	Sr	C	18	2	0	0.154	0.312	0.154	0	13	2	0	0	2	0	1	2	1	0	0	9	0	0	0	0	0
1652796	228	Florida A&M	21	Johnson, Cameron	Sr	OF	17	12	0	0.333	0.515	0.375	6	24	8	1	0	9	0	3	5	4	0	0	13	0	1	0	0	0
1871300	228	Florida A&M	24	Nicoll, Thomas	Sr	P	15	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1981625	228	Florida A&M	28	McCollum, Jeremiah	Fr	P	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998666	228	Florida A&M	27	Barr, Josh	N/A	P	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1981603	228	Florida A&M	19	de los Rios, Pedro	Fr	P	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1871303	228	Florida A&M	32	Wilson, Josh	So	P	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1981616	228	Florida A&M	35	Walter, William	Fr	UT	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
