team_id	team_name	team_games	team_BA	team_OBPpct	team_SLGpct	team_AB	team_R	team_H	team_2B	team_3B	team_TB	team_HR	team_RBI	team_BB	team_HBP	team_SF	team_SH	team_K	team_DP	team_SB	team_CS	team_Picked	opp_team_games	opp_team_BA	opp_team_OBPpct	opp_team_SLGpct	opp_team_AB	opp_team_R	opp_team_H	opp_team_2B	opp_team_3B	opp_team_TB	opp_team_HR	opp_team_RBI	opp_team_BB	opp_team_HBP	opp_team_SF	opp_team_SH	opp_team_K	opp_team_DP	opp_team_SB	opp_team_CS	opp_team_Picked
671	Louisiana		0.242	0.323	0.348	1,950	290	472	88	16	679	29	255	182	59	19	67	461	26	90	26			0.248	0.345	0.356	1,655	232	410	80	9	589	27	209	184	73	22	29	374	42	41	19	
711	Towson		0.231	0.331	0.328	1,817	256	420	81	4	596	29	217	238	40	11	42	403	35	56	7			0.301	0.418	0.419	1,637	378	493	102	14	686	21	328	289	54	19	19	339	41	76	28	
366	Louisiana Tech		0.281	0.389	0.423	2,020	374	568	106	15	854	50	335	270	103	29	32	386	49	73	33			0.245	0.318	0.339	1,666	183	409	62	5	565	28	170	137	48	18	23	397	40	35	18	
261	Grambling		0.290	0.403	0.409	1,715	359	498	81	6	702	37	324	274	65	24	45	347	45	82	20			0.319	0.413	0.469	1,537	381	490	87	15	721	38	342	203	65	29	20	251	31	64	24	
260	Gonzaga		0.269	0.362	0.380	1,847	273	497	81	5	702	38	237	202	79	21	26	418	39	32	20			0.248	0.328	0.353	1,401	157	348	57	4	494	27	142	131	39	10	31	341	37	22	20	
456	UNC Asheville		0.235	0.345	0.331	1,708	231	402	77	4	565	26	204	243	53	19	13	536	34	35	13			0.312	0.418	0.467	1,517	328	473	101	16	708	34	301	251	44	27	27	296	36	57	14	
716	Troy		0.296	0.396	0.445	2,054	423	608	124	30	915	41	380	278	83	32	25	449	45	114	21			0.250	0.338	0.358	1,566	213	391	62	6	561	32	202	180	42	27	22	387	39	30	18	
127	Central Conn. St.		0.271	0.357	0.361	1,494	211	405	55	7	540	22	194	179	30	15	18	346	45	38	12			0.299	0.379	0.431	1,356	241	405	79	11	584	26	224	153	38	27	23	238	32	32	20	
128	UCF		0.264	0.370	0.378	1,889	321	499	77	6	714	42	288	266	67	25	25	512	35	109	26			0.215	0.310	0.304	1,617	198	348	45	10	491	26	173	180	48	16	16	488	32	50	12	
129	Central Mich.		0.271	0.390	0.336	2,002	356	543	70	12	673	12	299	302	101	20	51	389	60	57	28			0.257	0.367	0.366	1,524	270	392	64	18	558	22	240	226	47	16	29	409	35	67	20	
574	Rice		0.277	0.371	0.386	2,000	304	553	92	11	772	35	281	253	63	29	28	469	41	37	15			0.263	0.347	0.373	1,616	255	425	66	12	602	29	226	179	41	25	14	413	35	47	14	
655	Southeastern La.		0.251	0.371	0.374	1,881	338	472	82	15	704	40	304	279	93	23	40	425	45	136	39			0.244	0.307	0.359	1,685	205	411	77	9	605	33	191	123	36	13	24	391	38	26	22	
1068	Elon		0.265	0.371	0.380	1,984	352	525	94	9	754	39	310	287	67	33	20	470	42	75	18			0.221	0.314	0.291	1,599	192	353	49	2	466	20	166	179	44	11	25	490	23	60	20	
534	Pacific		0.256	0.340	0.347	1,704	230	437	75	7	592	22	204	160	61	12	33	386	46	25	15			0.272	0.359	0.377	1,518	259	413	82	6	573	22	225	151	64	18	31	310	35	44	18	
51	Baylor		0.288	0.380	0.445	1,889	359	544	113	14	841	52	330	243	50	22	34	350	46	33	17			0.244	0.335	0.334	1,404	169	342	58	9	469	17	154	172	28	14	21	339	34	12	19	
529	Oregon		0.239	0.337	0.332	1,781	236	426	79	6	592	25	215	216	62	28	27	425	32	51	24			0.252	0.335	0.360	1,489	200	375	68	9	536	25	185	149	46	18	30	386	32	36	12	
414	Miami (OH)		0.268	0.374	0.389	1,838	304	493	100	16	715	30	277	238	89	26	38	462	38	88	38			0.246	0.355	0.375	1,457	213	359	64	15	546	31	189	192	61	13	28	376	40	37	26	
415	Miami (FL)		0.257	0.356	0.358	1,821	259	468	85	15	652	23	240	233	55	17	24	528	40	73	32			0.240	0.330	0.347	1,565	230	376	59	15	543	26	202	179	39	16	18	409	34	27	14	
416	Michigan St.		0.244	0.322	0.326	1,751	223	427	57	13	570	20	190	166	41	14	29	345	29	100	28			0.248	0.345	0.365	1,414	219	351	80	5	516	25	199	180	40	20	20	341	30	46	16	
19651	High Point		0.283	0.377	0.432	1,961	355	555	92	13	847	58	313	241	69	25	22	443	36	59	20			0.245	0.343	0.385	1,452	245	356	71	6	559	40	212	183	48	29	22	366	42	33	12	
299	Illinois St.		0.272	0.352	0.416	1,862	346	507	109	10	774	46	326	212	31	24	15	402	25	27	12			0.283	0.382	0.455	1,523	304	431	80	10	693	54	282	203	47	12	25	345	28	42	11	
370	Loyola Marymount		0.255	0.340	0.365	1,839	256	469	90	13	672	29	221	183	62	13	51	436	42	47	22			0.269	0.363	0.408	1,493	249	402	80	5	609	39	222	178	55	21	28	307	19	30	22	
418	Michigan		0.275	0.371	0.400	1,823	339	502	101	12	729	34	304	241	56	31	22	403	37	90	28			0.227	0.323	0.316	1,411	191	320	60	9	446	16	168	170	36	9	22	352	36	31	16	
419	Middle Tenn.		0.280	0.369	0.417	1,926	354	539	97	9	804	50	313	235	50	24	16	459	36	76	18			0.295	0.410	0.425	1,683	329	496	82	9	716	40	292	282	61	19	23	379	39	60	17	
539	Penn St.		0.233	0.332	0.342	1,625	223	379	79	17	555	21	204	197	53	19	12	451	25	47	13			0.272	0.369	0.382	1,410	269	384	69	4	539	26	242	192	35	21	25	330	21	44	18	
368	UMass Lowell		0.254	0.345	0.374	1,739	261	441	75	15	651	35	238	195	60	21	22	475	39	63	19			0.266	0.385	0.387	1,368	256	364	68	4	530	30	232	232	46	20	23	347	31	78	19	
590	Sacred Heart		0.254	0.344	0.365	1,698	265	431	70	8	619	34	238	211	32	19	20	398	38	53	17			0.314	0.411	0.491	1,511	323	475	105	24	742	38	290	192	67	17	22	309	33	53	23	
1320	Presbyterian		0.263	0.342	0.383	1,853	281	487	80	2	709	46	245	184	49	18	24	417	34	17	15			0.299	0.398	0.415	1,600	327	478	79	10	664	29	294	208	67	17	27	342	27	75	19	
198	ETSU		0.287	0.374	0.442	1,839	339	527	111	8	813	53	310	208	62	23	30	454	25	44	19			0.287	0.363	0.440	1,513	271	434	61	16	665	46	249	164	26	15	23	333	26	41	17	
596	St. Bonaventure		0.242	0.329	0.305	1,439	170	348	52	9	439	7	149	160	33	11	22	358	34	49	13			0.301	0.391	0.412	1,317	267	397	44	12	543	26	242	161	46	19	26	250	16	72	21	
312	Iowa		0.265	0.369	0.397	1,779	317	472	95	8	706	41	280	244	61	23	18	406	45	39	19			0.258	0.355	0.384	1,459	217	377	70	4	560	35	201	191	37	15	25	404	40	22	13	
706	UTSA		0.284	0.366	0.433	1,904	344	541	106	20	825	46	310	197	62	25	16	407	55	56	20			0.236	0.335	0.342	1,489	211	352	63	8	509	26	178	175	50	9	16	381	36	44	13	
67	Boston College		0.243	0.342	0.323	1,676	241	407	78	7	541	14	213	211	50	18	33	396	30	92	24			0.266	0.373	0.380	1,559	276	414	73	8	593	30	248	229	55	27	30	351	41	46	16	
317	James Madison		0.254	0.353	0.373	1,722	266	438	81	11	643	34	231	206	66	17	52	490	31	61	31			0.253	0.340	0.353	1,500	205	379	65	11	529	21	171	167	39	14	33	380	33	72	27	
316	Jacksonville		0.292	0.385	0.400	1,964	354	573	91	7	786	36	324	254	58	23	47	394	42	35	19			0.254	0.338	0.363	1,580	204	401	60	7	574	33	190	164	46	18	16	383	30	36	22	
193	Duke		0.270	0.377	0.418	1,865	352	504	94	17	779	49	318	239	97	28	19	441	28	84	15			0.233	0.322	0.331	1,499	175	349	58	7	496	25	157	162	42	15	28	424	45	33	15	
314	Jackson St.		0.303	0.387	0.448	1,753	357	532	108	13	786	40	325	217	37	22	53	311	18	100	26			0.268	0.364	0.373	1,471	239	394	79	6	548	21	218	171	66	26	20	317	27	37	23	
115	Campbell		0.254	0.356	0.389	1,957	347	497	94	12	762	49	308	210	110	20	47	443	23	94	22			0.244	0.357	0.341	1,572	256	383	56	11	536	25	220	244	46	22	18	427	31	74	26	
392	Maryland		0.243	0.355	0.384	1,801	271	437	92	9	691	48	242	253	72	20	18	445	39	63	24			0.270	0.371	0.403	1,584	274	428	84	5	639	39	255	212	54	19	35	322	28	50	17	
272	Hartford		0.270	0.361	0.393	1,763	265	476	88	13	692	34	240	213	48	15	29	320	48	75	22			0.270	0.372	0.390	1,457	260	393	71	13	568	26	238	210	38	19	22	321	21	64	19	
116	Canisius		0.283	0.398	0.418	1,899	390	537	108	17	793	38	337	278	99	23	33	429	48	70	18			0.241	0.338	0.346	1,484	226	358	59	11	514	25	206	177	46	14	18	354	22	64	17	
111	UC Riverside		0.260	0.320	0.382	1,836	233	478	96	10	702	36	219	144	26	17	19	469	40	23	19			0.299	0.369	0.411	1,530	258	457	85	12	629	21	222	139	40	15	29	261	26	69	24	
