player_id	team_id	team_name	Jersey	Player	Yr	Pos	GP	GS	G	App	GS	ERA	IP	CG	H	R	ER	BB	SO	SHO	BF	P-OAB	2B-A	3B-A	Bk	HR-A	WP	HB	IBB	Inh Run	Inh Run Score	SHA	SFA	Pitches	GO	FO	W	L	SV	KL
1878342	2711	North Florida	8	Gonzalez, Rey	Sr	C	42	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1537393	2711	North Florida	5	Voyles, Blake	Sr	C	42	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1752587	2711	North Florida	6	Board, Dalton	Jr	OF	41	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977709	2711	North Florida	9	Reynolds, Alex	Jr	UT	35	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977674	2711	North Florida	4	Libuano, Raff	Fr	OF	34	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977713	2711	North Florida	11	Sequera, Abraham	Fr	INF	30	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1752630	2711	North Florida	34	Matthias, Chris	Jr	OF	28	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977711	2711	North Florida	10	Law, Max	Fr	INF	27	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977720	2711	North Florida	39	Marchese, Nick	Jr	P	19	1	0	19	1	3.92	43.2	0	45	24	19	11	31	0	190	171	10	1	0	6	6	4	0	13	5	4	0	604	44	51	2	4	3	8
1639701	2711	North Florida	44	Depperman, Brad	Sr	P	19	9	0	19	9	4.30	69.0	0	72	40	33	19	63	0	298	270	14	0	5	3	10	4	0	4	2	3	2	924	71	63	2	4	5	10
1639710	2711	North Florida	18	Vaka, Matt	Sr	P	19	2	0	19	2	3.57	45.1	0	51	25	18	11	24	0	199	182	10	0	0	2	2	3	0	13	5	3	0	518	67	39	1	2	0	3
1977695	2711	North Florida	15	Hendricks, Alex	Jr	OF	18	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1878348	2711	North Florida	32	Fitzpatrick, James	Sr	C	17	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1752632	2711	North Florida	29	Norkus, Trace	Jr	P	15	0	0	15	0	4.50	26.0	0	27	14	13	12	27	0	114	96	5	0	0	4	6	3	0	15	9	1	2	444	17	27	2	3	3	8
1977696	2711	North Florida	19	Martinez, Andrew	Fr	UT	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1878341	2711	North Florida	7	Bradford, Cooper	So	P	15	5	0	15	5	6.41	39.1	0	48	34	28	22	35	0	188	157	11	3	3	1	9	4	1	7	1	4	1	697	45	31	4	3	0	12
1752631	2711	North Florida	17	Miller, Eddie	Jr	P	14	0	0	14	0	5.48	23.0	0	26	17	14	5	22	0	103	93	3	0	0	3	6	4	0	9	5	0	1	323	14	30	1	1	0	3
1752585	2711	North Florida	1	German, Frank	Jr	P	14	14	0	14	14	1.58	91.1	2	62	20	16	14	108	0	354	327	9	1	0	4	7	3	0	0	0	7	2	1,274	59	101	8	3	0	29
1639708	2711	North Florida	16	Polansky, Adam	Sr	P	13	7	0	13	7	6.00	36.0	0	48	29	24	18	24	0	179	156	10	0	0	4	4	2	0	5	2	0	3	530	33	49	1	1	0	4
1752604	2711	North Florida	30	Drury, Austin	Jr	P	13	13	0	13	13	4.85	68.2	1	67	41	37	30	58	0	306	260	10	0	0	9	5	9	0	0	0	5	2	1,078	68	69	4	4	0	14
1977702	2711	North Florida	35	Michaelis, Ethan	Jr	P	10	5	0	10	5	7.65	37.2	0	57	40	32	11	26	0	187	166	8	0	2	2	7	7	0	1	1	2	1	585	56	22	3	3	0	12
1878340	2711	North Florida	2	Weeks, Wesley	Sr	OF	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977698	2711	North Florida	28	Tworek, Justin	Jr	P	6	0	0	6	0	12.71	5.2	0	13	9	8	4	5	0	36	29	3	0	0	3	0	2	0	0	0	0	1	85	5	7	0	0	0	1
1537395	2711	North Florida	25	Stadius, Jay	Sr	P	2	0	0	2	0	4.50	2.0	0	2	2	1	1	1	0	10	9	0	0	0	1	0	0	0	0	0	0	0	13	3	2	0	0	0	0
1639702	2711	North Florida	26	Drury, Zach	Sr	P	1	0	0	1	0	27.00	0.1	0	0	1	1	3	1	0	5	1	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	0	1
1978068	2711	North Florida	40	Senger, Dalton	Fr	P	1	0	0	1	0	9.00	1.0	0	0	1	1	3	0	0	6	2	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0
1768958	669	Missouri St.	45	Whetstone, Ben	So	INF	54	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1873656	669	Missouri St.	18	Brown, Matt	Sr	INF	54	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1873658	669	Missouri St.	23	Duffy, Jack	So	OF	54	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
