game_id	game_date	away_team_id	away_team_name	away_g	away_r	away_ab	away_h	away_two_b	away_three_b	away_total_b	away_hr	away_rbi	away_bb	away_hbp	away_sf	away_sh	away_k	away_dp	away_sb	away_cs	away_picked	home_team_id	home_team_name	home_g	home_r	home_ab	home_h	home_two_b	home_three_b	home_total_b	home_hr	home_rbi	home_bb	home_hbp	home_sf	home_sh	home_k	home_dp	home_sb	home_cs	home_picked	neutral
4563390	04/20/2018	/team/674/12973	Stanford		8	35	10		2	23	3	8	6		1	1	5				1	/team/29/12973	Arizona		2	34	7	2		9		2	2	1		1	4				1	0
4563397	04/20/2018	/team/657/12973	Southern California		1	34	8	1		9		1	1	1			5	1	1			/team/110/12973	UCLA		16	37	14	3		23	2	16	9	1	1		9				1	0
4563396	04/20/2018	/team/99/12973	Long Beach St.		4	34	11	1	1	14		4	2	1		3	6	2				/team/90/12973	Cal Poly		5	33	11	3	2	18		3	3	2		2	10	2			1	0
4557825	04/14/2018	/team/19651/12973	High Point		13	42	15	3		33	5	12	4				9					/team/1092/12973	Gardner-Webb		8	43	15	3		30	4	7	1				10				1	0
4573515	04/28/2018	/team/17/12973	Alcorn		3	30	5	1		6		3	3				10	1			1	/team/314/12973	Jackson St.		7	32	7		2	11		6	7			1	8	1			1	0
4573517	04/29/2018	/team/108/12973	UC Davis		10	38	13	5		27	3	9	1	1		1	8	1			1	/team/99/12973	Long Beach St.		1	35	10	1		11		1					2	2				0
4579929	05/09/2018	/team/630/12973	San Jose St.		3	34	7	1		11	1	3	3		1		6				2	/team/90/12973	Cal Poly		5	37	13	3		16		5	4				4		1		1	0
4579927	05/09/2018	/team/28/12973	Arizona St.		12	39	13	5		27	3	10	8	1			7	2				/team/627/12973	San Diego		7	39	14	5	1	24	1	6	1	1			11	1				0
4505587	02/18/2018	/team/317/12973	James Madison		4	27	4			10	2	4	4	1	1	1	7	2			1	/team/19651/12973	High Point		3	31	4	2		9	1	3	4		1		10				3	0
4573518	04/29/2018	/team/127/12973	Central Conn. St.		1	26	4	1		5			4				8					/team/81/12973	Bryant		6	24	7			13	2	6	6	1		1	1					0
4573519	04/29/2018	/team/754/12973	Washington St.		5	32	8			11	1	4	4			3	11	2				/team/756/12973	Washington		6	31	7	1		11	1	4	4	2		1	11				2	0
4555682	04/13/2018	/team/503/12973	Northern Ill.		1	30	3	1		4		1				1	15				1	/team/331/12973	Kent St.		7	32	9	1		13	1	7	4	1		1	10		1		2	0
4537542	03/25/2018	/team/352/12973	Lehigh		5	36	11	3	1	16		5	2		2		6	1			1	/team/342/12973	Lafayette		2	33	4			4		2	8	2			7		1		1	0
4537540	03/25/2018	/team/352/12973	Lehigh			20	3			3			5			2	4	1				/team/342/12973	Lafayette		1	22	5	1		6		1	3	1		1	3	1				0
4537545	03/25/2018	/team/2678/12973	Ark.-Pine Bluff		2	28	4			7	1	2	5	3			8	2	1			/team/699/12973	Texas Southern		9	36	16	2	1	26	2	7	3	1	1		4				6	0
4537019	03/25/2018	/team/414/12973	Miami (OH)			27	4			4			3	1		1	7		1			/team/204/12973	Eastern Mich.		4	30	10	2		12		4	3	1			5	2	2			0
4572930	04/29/2018	/team/590/12973	Sacred Heart		5	30	7	1		8		5	6	2		1	6					/team/450/12973	Mt. St. Mary's		6	32	11	3		17	1	6		1			5	2				0
4572933	04/29/2018	/team/609/12973	Saint Louis		11	39	13	5	1	23	1	11	7		1		9	1			3	/team/340/12973	La Salle		1	30	4			7	1	1	5	2	1		4				2	0
4572939	04/29/2018	/team/288/12973	Houston		6	34	8	1		12	1	6	4	3		1	4	2			3	/team/196/12973	East Carolina		5	29	5	2		7		5	7	1	2		7	1				0
4572938	04/29/2018	/team/404/12973	Memphis		2	33	4	1		5		1	2				11				3	/team/651/12973	South Fla.		3	33	10			10		3	2			2	12				1	0
4502677	02/21/2018	/team/196/12973	East Carolina		7	33	9	4	1	15		7	5	1	3	1	12	1			6	/team/115/12973	Campbell		2	33	6			6		2	4	3			13		1			0
4581932	05/13/2018	/team/771/12973	Western Ill.		7	33	10	2		15	1	6	6		2		8		2			/team/649/12973	South Dakota St.		13	35	12	2		23	3	12	10			1	6				4	0
4503988	02/23/2018	/team/261/12973	Grambling			28	3			3			6	1			15	1				/team/231/12973	FIU		3	31	9	1		10		1	3	1			6	1	1		1	0
4545548	04/03/2018	/team/568/12973	Regis (CO)		7	37	13	2	1	17		6	2		2		9		1		2	/team/502/12973	Northern Colo.		8	31	12	2		14		6	5	1		2	11		2		3	0
4503983	02/23/2018	/team/810/12973	Wright St.		8	34	7	2	1	11		7	4	2			8					/team/671/12973	Louisiana		2	30	4			4		2	1		1		8				1	0
4523082	03/11/2018	/team/617/12973	Saint Peter's		5	38	10	2	1	14		4	2				9	1				/team/361/12973	LIU Brooklyn		9	35	13	6		25	2	9	5		2		9				5	0
4523088	03/11/2018	/team/460/12973	UNCW		3	36	9		1	14	1	3	3	2	1		13					/team/28/12973	Arizona St.		1	34	8	1		9		1	2				7	1				0
4506802	02/25/2018	/team/236/12973	Fordham		4	31	9	1	1	12		4	6	2		1	6	3	1		1	/team/651/12973	South Fla.		13	34	13	3		19	1	13	6	4	2		6	1	1		3	0
4584642	05/23/2018	/team/505/12973	Northern Ky.		1	33	8	1		9		1	2	1		1	7	1			3	/team/797/12973	Milwaukee		13	40	14	4	1	20		12	5	2	1		10				3	1
4506800	02/25/2018	/team/62/12973	Binghamton		2	30	3	1		7	1	1	3				10					/team/355/12973	Liberty		3	27	4	1		11	2	3	7	2			8	1			1	0
4506801	02/24/2018	/team/204/12973	Eastern Mich.		3	33	9	1		10		3	1			1	5	2			4	/team/314/12973	Jackson St.		5	31	9	2		14	1	4	4			1	3	1	1		2	0
4506804	02/25/2018	/team/418/12973	Michigan		1	28	2	1		3		1	5				5	1			1	/team/90/12973	Cal Poly		8	37	14	3	1	19		8	2	2			5	1	1			1
4581455	05/12/2018	/team/19651/12973	High Point		14	41	17	8	1	30	1	13	9	1	1		5	2			1	/team/456/12973	UNC Asheville		3	31	5			8	1	3	2				6	1				0
4584640	05/23/2018	/team/483/12973	Nicholls St.		2	35	10	1		11		2	2			1	3	1				/team/655/12973	Southeastern La.		4	25	4			7	1	4	4	1		1	5	2			2	1
4584641	05/23/2018	/team/244/12973	Furman			32	4			4							13					/team/625/12973	Samford		4	30	9			9		4	2		1		1		1		1	1
4543874	03/31/2018	/team/229/12973	Fla. Atlantic		3	27	4	1	1	7		3	5			2	9	1	1			/team/388/12973	Marshall		2	32	5	1		9	1	2		1			12	1	1			0
4544395	03/30/2018	/team/251/12973	Georgetown		2	37	10	2		12		1	3	2			11					/team/459/12973	UNCG		5	30	8	2	2	14		5	3	1	1	1	10				3	0
4581452	05/12/2018	/team/301/12973	Illinois		10	35	11	3		20	2	10	5	3		2	6	1	1		1	/team/418/12973	Michigan		4	29	4	4		8		3	3	2			9	1	1			0
4544392	03/30/2018	/team/432/12973	Mississippi Val.		10	32	11	2		13		9	7	2	1	3	9				3	/team/7/12973	Alabama St.		7	42	17			17		6	2	2			6	1				0
4543873	03/31/2018	/team/167/12973	Cornell		5	34	9	1	1	12		5	4	1	1		8	1	2		1	/team/554/12973	Princeton		2	35	7	1		8		2	1	1			10					0
4544398	03/30/2018	/team/14927/12973	Belmont		4	33	8	1	1	14	1	4	4	1		1	9					/team/660/12973	SIUE		5	34	11	4		15		5	3	2		1	9				2	0
4548349	04/06/2018	/team/471/12973	NJIT		1	34	7			7		1	2				13					/team/28755/12973	FGCU		9	38	14			17	1	8	2			1	4				3	0
